Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1483013,2021-01-21,2021-01-21,,"Oblivion","Oblivion",https://www.imdb.com/title/tt1483013/,Movie,7.0,124,2013,"Action, Adventure, Sci-Fi",582918,2013-04-19,"Joseph Kosinski",10,2019-07-07
2,tt0829482,2021-01-21,2021-01-21,,"Superbad","Superbad",https://www.imdb.com/title/tt0829482/,Movie,7.6,113,2007,"Comedy",686333,2007-08-17,"Greg Mottola",9,2020-11-21
3,tt2024469,2021-01-21,2021-01-21,,"Non-Stop","Non-Stop",https://www.imdb.com/title/tt2024469/,Movie,6.9,106,2014,"Action, Mystery, Thriller",286417,2014-02-28,"Jaume Collet-Serra",,
4,tt1631867,2021-01-21,2021-01-21,,"Edge of Tomorrow","Edge of Tomorrow",https://www.imdb.com/title/tt1631867/,Movie,7.9,113,2014,"Action, Adventure, Sci-Fi",797666,2014-06-06,"Doug Liman",8,2019-07-29
5,tt0137523,2021-01-21,2021-01-21,,"Fight Club","Fight Club",https://www.imdb.com/title/tt0137523/,Movie,8.8,139,1999,"Crime, Drama, Thriller",2572115,1999-10-15,"David Fincher",10,2019-06-10
6,tt0816692,2021-01-21,2021-01-21,,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692/,Movie,8.7,169,2014,"Adventure, Drama, Sci-Fi",2477505,2014-11-07,"Christopher Nolan",10,2019-06-30
7,tt5950044,2026-02-12,2026-02-12,,"Superman","Superman",https://www.imdb.com/title/tt5950044/,Movie,7.0,129,2025,"Action, Adventure, Sci-Fi",388128,2025-07-11,"James Gunn",,
8,tt0796366,2026-02-12,2026-02-12,,"Star Trek","Star Trek",https://www.imdb.com/title/tt0796366/,Movie,7.9,127,2009,"Action, Adventure, Sci-Fi",636343,2009-05-08,"J.J. Abrams",,
9,tt8108198,2026-02-13,2026-02-13,,"Andhadhun","Andhadhun",https://www.imdb.com/title/tt8108198/,Movie,8.2,139,2018,"Crime, Mystery, Thriller",114861,2018-10-05,"Sriram Raghavan",9,2021-01-21
10,tt6129302,2026-02-13,2026-02-13,,"Bhavesh Joshi Superhero","Bhavesh Joshi Superhero",https://www.imdb.com/title/tt6129302/,Movie,7.6,154,2018,"Action, Drama",11326,2018-06-01,"Vikramaditya Motwane",,
11,tt1588173,2026-02-13,2026-02-13,,"Warm Bodies","Warm Bodies",https://www.imdb.com/title/tt1588173/,Movie,6.8,98,2013,"Action, Comedy, Horror, Romance, Sci-Fi, Thriller",253988,2013-02-01,"Jonathan Levine",,
12,tt2820466,2026-02-13,2026-02-13,,"Justice League: The Flashpoint Paradox","Justice League: The Flashpoint Paradox",https://www.imdb.com/title/tt2820466/,Video,8.1,75,2013,"Animation, Action, Adventure, Fantasy, Sci-Fi",64841,2013-07-30,"Jay Oliva",8,2019-08-02
13,tt4633694,2026-02-13,2026-02-13,,"Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse",https://www.imdb.com/title/tt4633694/,Movie,8.4,117,2018,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",775587,2018-12-14,"Bob Persichetti, Peter Ramsey, Rodney Rothman",,
14,tt9362722,2026-02-13,2026-02-13,,"Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",https://www.imdb.com/title/tt9362722/,Movie,8.5,140,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",508228,2023-06-02,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",10,2024-11-28
15,tt0433035,2026-02-13,2026-02-13,,"Real Steel","Real Steel",https://www.imdb.com/title/tt0433035/,Movie,7.1,127,2011,"Action, Drama, Sci-Fi, Sport",378167,2011-10-07,"Shawn Levy",,
16,tt8239946,2026-02-13,2026-02-13,,"Tumbbad","Tumbbad",https://www.imdb.com/title/tt8239946/,Movie,8.2,108,2018,"Drama, Fantasy, Horror, Thriller",73454,2018-10-12,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad",,
17,tt0108052,2026-02-13,2026-02-13,,"Schindler's List","Schindler's List",https://www.imdb.com/title/tt0108052/,Movie,9.0,195,1993,"Biography, Drama, History",1572914,1994-02-04,"Steven Spielberg",8,2019-09-06
